"CELLNAME","CELLTYPE","CELLINDEX","CELLCODE","EXCEL_ID"
"系统包件订单号","STRING","7","BJ_ORDERNUM","2"
"计划数量","INT","11","PLANNUM","2"
"SAP包件编码","STRING","8","SAP_BJ_CODE","2"
"SAP套件编码","","5","SAP_TJ_CODE","2"
"生产订单号","","2","BJ_ORDERNUM","3"
"工序","STRING","6","GONGXU","3"
"订单数量","INT","8","ORDERNUM","3"
"排产数量","INT","5","OUTNUM","3"
"下达日期","","","PLACEDATE","3"
"物料编号","STRING","3","SAP_BJ_CODE","3"
"销售公司可用库存数量","Int","10","AVAILABLE_STOCK_SAL","4"
"半成品库存","Int","12","BCP_STOCK","4"
"发货库库存量","Int","5","DELIVER_STOCK","4"
"在途量","Int","11","ON_ORDER_INVENTORY","4"
"剩余需求量","Int","6","REMAIN_DEMAND","4"
"物料代码","String","0","SAP_BJ_CODE","4"
"SO确认未发数量","Int","8","SO_NO_NUMBER","4"
"销售公司可用库存数量","int","10","AVAILABLE_STOCK_SAL","5"
"发货库库存量","int","5","DELIVER_STOCK","5"
"剩余需求量","","6","REMAIN_DEMAND","5"
"物料代码","string","0","SAP_BJ_CODE","5"
"SO确认未发数量","int","8","SO_NO_NUMBER","5"
"工厂","String","7","FACTORY","6"
"输入日期","date","4","INPUT_DATE","6"
"输入时间","time","5","INPUT_TIME","6"
"数量","int","3","NUM","6"
"物料","string","1","SAP_BJ_CODE","6"
"包件编码","String","","SAP_BJ_CODE","7"
"需求量","int","","YC_NUM","7"
"交货数量","Int","","DELIVERY_NUM","8"
"工厂","String","","FACTORY","8"
"订单数量","Int","","ORDER_NUM","8"
"物料","String","","SAP_BJ_CODE","8"
"系统状态","String","","SYS_STATE","8"
"销售等级","","","CATEGORY","9"
"分类","int","","ITEM_TYPE","9"
"包件编码","String","","SAP_BJ_CODE","9"
"套件编码","String","","SAP_TJ_CODE","9"
"周预测量","int","","WEEK_NUM","9"
"周预测调整","","","WEEK_NUM_CHANGE","9"
"库存地点描述","String","","CKMARK","11"
"输入日期","Date","","CRDATE","11"
"移动类型文本","String ","","CRFLAG","11"
"数量","Int","","CRNUM","11"
"输入时间","Time","","CRTIME","11"
"供应商","String","","FACTORY","11"
"抬头文本","String","","HEAD_TEXT","11"
"物料","String","","SAP_BJ_CODE","11"
"收货库存地点描述","String","","SHCKMARK","11"
"套件编码","String","","SAP_TJ_CODE","12"
"未交订货量","STRING","","UNCLEARNUM","12"
"未交总量（不含开单未发）","INT","","NEEDNUM","13"
"包件编码","STRING","","SAP_BJ_CODE","13"
"需求数量","int","","NEEDNUM","14"
"包件编码","STRING","","SAP_BJ_CODE","14"
"折扣力度","","","DISCOUNT","15"
"需求数量","","","NEEDNUM","15"
"包件编码","STRING","","SAP_BJ_CODE","15"
"活动方案","","","EVENT_PROJECT","16"
"包件编码","STRING","","SAP_BJ_CODE","16"
"预售量","","","PRE_SALENUM","17"
"包件编码","STRING","","SAP_BJ_CODE","17"
"需求数量","","","NEEDNUM","18"
"包件编码","STRING","","SAP_BJ_CODE","18"
"活动方案","","","EVENT_PROJECT","19"
"产品配置","","","PRODUCTCONF","19"
"包件编码","STRING","","SAP_BJ_CODE","19"
"包件编码","STRING","","SAP_BJ_CODE","20"
"未清量","","","UNCLEARNUM","20"
"系统订单号","","","BJ_ORDERNUM","21"
"原系统订单号","","","ORI_BJ_ORDERNUM","21"
"原数量","","","ORI_PLANNUM","21"
"原物料号","","","ORI_SAP_BJ_CODE","21"
"数量","","","PLANNUM","21"
"物料号","","","SAP_BJ_CODE","21"
"生产订单号","","","BJ_ORDERNUM","22"
"工序","","","GONGXU","22"
"原生产订单号","","","ORI_BJ_ORDERNUM","22"
"原工序","","","ORI_GONGXU","22"
"原排产数量","","","ORI_OUTNUM","22"
"原物料编号","","","ORI_SAP_BJ_CODE","22"
"排产数量","","","OUTNUM","22"
"物料编号","","","SAP_BJ_CODE","22"
"采购数量","","","PLANNUM","23"
"要求完成时间","","","RUKUDATE","23"
"SAP包件编码","","","SAP_BJ_CODE","23"
"SAP套件编码","","","SAP_TJ_CODE","23"
"要求投产时间","","","SCDATE","23"
"订单编号","","","BJ_ORDERNUM","24"
"原订单编号","","","ORI_BJ_ORDERNUM","24"
"原数量","","","ORI_PLANNUM","24"
"原SAP包件编码","","","ORI_SAP_BJ_CODE","24"
"原套件编码","","","ORI_SAP_TJ_CODE","24"
"数量","","","PLANNUM","24"
"SAP包件编码","","","SAP_BJ_CODE","24"
"套件编码","","","SAP_TJ_CODE","24"
"备注","","12","REMARK","25"
"包件编码","","2","SAP_BJ_CODE","25"
"套件编码","","1","SAP_TJ_CODE","25"
"计划量","","11","STROCK","25"
"原月备料数量","","","ORI_PLANNUM","26"
"原备注","","","ORI_REMARK","26"
"原包件编码","","","ORI_SAP_BJ_CODE","26"
"原套件编码","","","ORI_SAP_TJ_CODE","26"
"月备料数量","","","PLANNUM","26"
"月份","","","PLAN_MONTH","26"
"备注","","","REMARK","26"
"包件编码","","","SAP_BJ_CODE","26"
"套件编码","","","SAP_TJ_CODE","26"
"冻结量","","","DJ_NUM","27"
"解冻量","","10","JD_NUM","27"
"计划量","","9","PLANNUM","27"
"备注","","11","REMARK","27"
"包件编码","","2","SAP_BJ_CODE","27"
"套件物料编码","","1","SAP_TJ_CODE","27"
"原数量","","","ORI_PLANNUM","28"
"原备注","","","ORI_REMARK","28"
"原包件编码","","","ORI_SAP_BJ_CODE","28"
"原套件编码","","","ORI_SAP_TJ_CODE","28"
"数量","","","PLANNUM","28"
"周次","","","PLANWEEK","28"
"备注","","","REMARK","28"
"包件编码","","","SAP_BJ_CODE","28"
"套件编码","","","SAP_TJ_CODE","28"
"名称","string","0","abbreviation","29"
"品类","string","0","category","29"
"颜色","string","0","color","29"
"退市时间","string","0","delistTime","29"
"方向","string","0","direction","29"
"分销渠道","string","0","distributionChannel","29"
"上市时间","string","0","listTime","29"
"型号","string","0","model","29"
"新品首批出库时间","string","0","newProductFristOutTime","29"
"产品生命周期","string","0","productLifeCycle","29"
"产品线","string","0","productLine","29"
"产品定位","string","0","productPosition","29"
"SAP套件编码","string","0","sapTjCode","29"
"SAP套件名称","string","0","sapTjName","29"
"安全库存天数","string","0","securityStockDays","29"
"系列编码","string","0","seriesCode","29"
"系列名称","string","0","seriesName","29"
"规格","string","0","specifications","29"
"套件材质","string","0","tjMaterial","29"
"升级产品编码","string","0","upgradeProductCode","29"
"包件材质","string","0","bjMaterial","30"
"包件数","string","0","bjNum","30"
"包件采购周期","string","0","bjPurchaseCycle","30"
"调料明细","string","0","dlDetail","30"
"是否通用件","string","0","isCurrency","30"
"是否为第一包件","string","0","isFristBj","30"
"最优排版量","string","0","optimalTypesetQuantity","30"
"是否备料","string","0","prepare","30"
"SAP包件编码","string","0","sapBjCode","30"
"SAP包件名称","string","0","sapBjName","30"
"特殊材料","string","0","specialMaterial","30"
"所属SAP套件编码","string","0","theSapTjCode","30"
"月份","string","0","month","31"
"出库月度系数","string","0","outLibraryMonthCoefficient","31"
"产品线","string","0","style","31"
"年份","string","0","year","31"
"包件折套系数","string","0","bjZtCoefficient","32"
"包件分布分厂","string","0","factName","32"
"包件生产方式","string","0","mode","32"
"包件生产周期","string","0","period","32"
"工艺难度","string","0","processDifficulty","32"
"包件编码","string","0","sapBjCode","32"
"包件名称","string","0","sapBjName","32"
"销售等级","","","CATEGORY","33"
"分类","int","","ITEM_TYPE","33"
"月预测量","int","","MONTH_NUM","33"
"月预测调整","","","MONTH_NUM_CHANGE","33"
"包件编码","String","","SAP_BJ_CODE","33"
"套件编码","String","","SAP_TJ_CODE","33"
"调整量","int","0","adjustNum","34"
"配送中心","int","0","psCenter","34"
"包件编码","string","0","SAP_BJ_CODE","34"
"销售等级","","","CATEGORY","35"
"分类","int","","ITEM_TYPE","35"
"包件编码","String","","SAP_BJ_CODE","35"
