"EXCEL_ID","EXCELNAME","EXCEL_TABLE","P_ID","STARTROW","ENDROW","TABLEHEAD_INDEX","FUNCTIONID","CHECKCODE","PARSECODE","SAVECODE"
"2","板式下单表","PLACE_ORDER","7","1","0","0","22","com.quanyou.pms.service.impl.excel.placeorder.PlaceOrderValidator","com.quanyou.pms.service.impl.excel.placeorder.PlaceOrderExcelParser","com.quanyou.pms.service.impl.excel.placeorder.PlaceOrderSaver"
"3","软体下单表","RT_PLACE_ORDER","7","2","3","1","22","com.quanyou.pms.service.impl.excel.rtplaceorder.RtPlaceOrderValidator","com.quanyou.pms.service.impl.excel.rtplaceorder.RtPlaceExeclParser","com.quanyou.pms.service.impl.excel.rtplaceorder.RtPlaceOrderSaver"
"4","包件供需平衡表_公司","SUPPLY_BALANCE","3","1","0","0","6","com.quanyou.pms.service.impl.excel.supplerbalance.SupplerBalanceValidator","com.quanyou.pms.service.impl.excel.supplerbalance.SupplerBalanceParser","com.quanyou.pms.service.impl.excel.supplerbalance.SupplerBalanceSave"
"5","包件供需平衡表_其他","SUPPLY_BALANCE","3","1","0","0","6","com.quanyou.pms.service.impl.excel.supplerbalance.SupplerBalanceValidator","com.quanyou.pms.service.impl.excel.supplerbalance.SupplerBalanceParser","com.quanyou.pms.service.impl.excel.supplerbalance.SupplerBalanceSave"
"6","生产下线表","PRODUCTION_OFFLINE","8","1","0","0","6","com.quanyou.pms.service.impl.excel.productionOffline.ProductionOfflineValidator","com.quanyou.pms.service.impl.excel.productionOffline.ProductionOfflineParser","com.quanyou.pms.service.impl.excel.productionOffline.ProductionOfflineSave"
"7","电商销售预测表","EC_SALE_FORECAST","4","1","1","0","7","com.quanyou.pms.service.impl.excel.ecsaleforecast.EcSaleForecastValidator","com.quanyou.pms.service.impl.excel.ecsaleforecast.EcSaleForecastParser","com.quanyou.pms.service.impl.excel.ecsaleforecast.EcSaleForecastSave"
"8","COOIS表","COOIS","9","1","0","0","6","com.quanyou.pms.service.impl.excel.coois.CooisValidator","com.quanyou.pms.service.impl.excel.coois.CooisParser","com.quanyou.pms.service.impl.excel.coois.CooisSave"
"9","周预测表","FORECAST_WEEK","1","3","0","2","9","com.quanyou.pms.service.impl.excel.forecastweek.ForecastWeekValidator","com.quanyou.pms.service.impl.excel.forecastweek.ForecastWeekParser","com.quanyou.pms.service.impl.excel.forecastweek.ForecastWeekSave"
"11","导入出入库","OUT_IN_WARS","2","1","0","0","22","com.quanyou.pms.service.impl.excel.crk.CrkValidator","com.quanyou.pms.service.impl.excel.crk.CrkParser","com.quanyou.pms.service.impl.excel.crk.CrkSaver"
"12","退市未交表","DELIST_UN_GIVING","6","1","0","0","22","com.quanyou.pms.service.impl.excel.tsunsub.TsunsubmitValidator","com.quanyou.pms.service.impl.excel.tsunsub.TsunsubmitParser","com.quanyou.pms.service.impl.excel.tsunsub.TsunsubmitSaver"
"13","EC未交表","EC_UN_GIVING","4","2","0","0","22","com.quanyou.pms.service.impl.excel.ecunsub.EcUnsubValidator","com.quanyou.pms.service.impl.excel.ecunsub.EcUnsubParser","com.quanyou.pms.service.impl.excel.ecunsub.EcUnsubSaver"
"14","订货表","ORDER_GOODS_EVENT","5","4","0","3","22","com.quanyou.pms.service.impl.excel.ordergood.OrderGoodValidator","com.quanyou.pms.service.impl.excel.ordergood.OrderGoodParser","com.quanyou.pms.service.impl.excel.ordergood.OrderGoodSaver"
"15","产品活动表","ORDER_GOODS_EVENT","4","4","0","3","22","com.quanyou.pms.service.impl.excel.cphd.ProductEventValidator","com.quanyou.pms.service.impl.excel.cphd.ProDuctEventParser","com.quanyou.pms.service.impl.excel.cphd.ProductEventSaver"
"16","电商促销活动","ORDER_GOODS_EVENT","4","4","0","3","22","com.quanyou.pms.service.impl.excel.eccxhd.EccxEventValidator","com.quanyou.pms.service.impl.excel.eccxhd.EccxEventParser","com.quanyou.pms.service.impl.excel.eccxhd.EccxEventSaver"
"17","电商预售活动","ORDER_GOODS_EVENT","4","4","0","3","22","com.quanyou.pms.service.impl.excel.ecyshd.EcysEventValidator","com.quanyou.pms.service.impl.excel.ecyshd.EcysEventParser","com.quanyou.pms.service.impl.excel.ecyshd.EcysEventSaver"
"18","工程订货活动","ORDER_GOODS_EVENT","4","4","0","3","22","com.quanyou.pms.service.impl.excel.gcdh.GcdhEventValidator","com.quanyou.pms.service.impl.excel.gcdh.GcdhEventParser","com.quanyou.pms.service.impl.excel.gcdh.GcdhEventSaver"
"19","线下促销活动","ORDER_GOODS_EVENT","4","4","0","3","22","com.quanyou.pms.service.impl.excel.xxcxhd.OffLinecxEventValidator","com.quanyou.pms.service.impl.excel.xxcxhd.OfflinecxEventParser","com.quanyou.pms.service.impl.excel.xxcxhd.OfflinecxEventSaver"
"20","线下出校未交订货","ORDER_GOODS_EVENT","4","1","0","0","22","com.quanyou.pms.service.impl.excel.tsunsuborder.TsunsuborderValidator","com.quanyou.pms.service.impl.excel.tsunsuborder.TsunsuborderParser","com.quanyou.pms.service.impl.excel.tsunsuborder.TsunsuborderSaver"
"21","板式下单变更","PLACE_ORDER","7","1","0","0","22","com.quanyou.pms.service.impl.excel.placeOrderChange.PlaceOrderChangeValidator","com.quanyou.pms.service.impl.excel.placeOrderChange.PlaceOrderExcelChangeParser","com.quanyou.pms.service.impl.excel.placeOrderChange.PlaceOrderChangeSaver"
"22","软体下单变更","RT_PLACE_ORDER","7","3","3","2","22","com.quanyou.pms.service.impl.excel.rtplaceorderChange.RtPlaceOrderChangeValidator","com.quanyou.pms.service.impl.excel.rtplaceorderChange.RtPlaceExeclChangeParser","com.quanyou.pms.service.impl.excel.rtplaceorderChange.RtPlaceOrderChangeSaver"
"23","外协下单导入","RT_PLACE_ORDER","7","1","0","0","22","com.quanyou.pms.service.impl.excel.wxorder.WxOrderValidator","com.quanyou.pms.service.impl.excel.wxorder.WxOrderExcelParser","com.quanyou.pms.service.impl.excel.wxorder.WxOrderSaver"
"24","外协下单变更","PLACE_ORDER","7","4","1","3","22","com.quanyou.pms.service.impl.excel.wxorderChange.WxOrderChangeValidator","com.quanyou.pms.service.impl.excel.wxorderChange.WxOrderChangeExcelParser","com.quanyou.pms.service.impl.excel.wxorderChange.WxOrderChangeSaver"
"25","月备料计划导入","MONTH_STOCK_PLAN","11","3","0","2","22","com.quanyou.pms.service.impl.excel.monthStrock.MonthStrockValidator","com.quanyou.pms.service.impl.excel.monthStrock.MonthStrockExcelParser","com.quanyou.pms.service.impl.excel.monthStrock.MonthStrockSaver"
"26","月备料计划变更","MONTH_STOCK_PLAN","11","4","1","3","22","com.quanyou.pms.service.impl.excel.monthStrockChange.MonthStrockChangeValidator","com.quanyou.pms.service.impl.excel.monthStrockChange.MonthStrockChangeExcelParser","com.quanyou.pms.service.impl.excel.monthStrockChange.MonthStrockChangeSaver"
"27","周生产计划导入追加","WEEK_STOCK_PLAN","10","3","0","2","2","com.quanyou.pms.service.impl.excel.weekStrock.WeekStrockValidator","com.quanyou.pms.service.impl.excel.weekStrock.WeekStrockExcelParser","com.quanyou.pms.service.impl.excel.weekStrock.WeekStrockSaver"
"28","周生产计划变更","WEEK_STOCK_PLAN","10","4","1","3","22","com.quanyou.pms.service.impl.excel.weekStrockChange.WeekStrockChangeValidator","com.quanyou.pms.service.impl.excel.weekStrockChange.WeekStrockChangeExcelParser","com.quanyou.pms.service.impl.excel.weekStrockChange.WeekStrockChangeSaver"
"29","产品信息编辑_套件","","","1","0","0","22","","",""
"30","产品信息编辑_包件","","","1","0","0","22","","",""
"31","产品信息编辑_折套系数","","","1","0","0","22","","",""
"32","生产信息编辑","","","1","0","0","22","","",""
"33","月预测表","FORECAST_MONTH","12","3","0","2","9","com.quanyou.pms.service.impl.excel.forecastmonth.ForecastMonthValidator","com.quanyou.pms.service.impl.excel.forecastmonth.ForecastMonthParser","com.quanyou.pms.service.impl.excel.forecastmonth.ForecastMonthSave"
"34","差异调整表","DIFFADJUST","13","1","0","0","9","com.quanyou.pms.service.impl.excel.diffadjust.DiffAdjustValidator","com.quanyou.pms.service.impl.excel.diffadjust.DiffAdjustParser","com.quanyou.pms.service.impl.excel.diffadjust.DiffAdjustMonthSave"
"35","周预测新增","FORECAST_WEEK","1","3","0","2","9","com.quanyou.pms.service.impl.excel.forecastweek.ForecastWeekValidatorAdd","com.quanyou.pms.service.impl.excel.forecastweek.ForecastWeekParserAdd","com.quanyou.pms.service.impl.excel.forecastweek.ForecastWeekSaveAdd"
"36","月预测新增","FORECAST_MONTH","12","3","0","2","9","com.quanyou.pms.service.impl.excel.forecastmonth.ForecastMonthValidatorAdd","com.quanyou.pms.service.impl.excel.forecastmonth.ForecastMonthParserAdd","com.quanyou.pms.service.impl.excel.forecastmonth.ForecastMonthSaveAdd"
"37","材料库存表","ORIGINAL_MATERIAL_STORAGE","26","1","0","99","","","",""
"38","未交材料表","ORIGINAL_MATERIAL_NO_COMMIT","27","1","0","99","","","",""
"39","材料领用表","ORIGINAL_MATERIAL_USE","28","1","0","99","","","",""
"40","领料关系表","MATERIAL_FACTORY_STORAGE","21","3","0","0","","com.quanyou.pms.service.impl.excel.linliaorelation.MaterialFactoryStorageValidator","com.quanyou.pms.service.impl.excel.linliaorelation.MaterialFactoryStorageParser","com.quanyou.pms.service.impl.excel.linliaorelation.MaterialFactoryStorageSaver"
"41","供应商配额表","MATERIAL_SUPPLER_QUOTA","22","3","0","0","","com.quanyou.pms.service.impl.excel.supplierNum.MaterialSuppllierQuotaValidator","com.quanyou.pms.service.impl.excel.supplierNum.MaterialSuppllierQuotaParser","com.quanyou.pms.service.impl.excel.supplierNum.MaterialSuppllierQuotaSaver"
"42","定额拆分","","","1","0","0","","","com.quanyou.pms.service.impl.excel.pecf.MaterialPEParse",""
"43","陪额拆分","","","1","0","0","","","com.quanyou.pms.service.impl.excel.pecf.MaterialPEParse",""
